,movie_id,plot,label,annotated_at,movie_title
1,tt2709768,"The quiet life of a terrier named Max will be upended when you take in Duke, a stray whom Max instantly will dislike.",good (almost perfect),2022-08-18 22:59:02,The Secret Life of Pets
2,tt1436562,"When you, a domesticated macaw from small-town Minnesota, meet the fiercely independent Jewel, you will take off on an adventure to Rio de Janeiro with the bird of his dreams.",okay (understandable),2022-08-18 22:59:16,Rio
4,tt6095472,You and scheming green pigs will take your feud to the next level.,good (almost perfect),2022-08-18 22:59:27,The Angry Birds Movie 2
5,tt2380307,"You, confronted with your family's ancestral ban on music, will enter the Land of the Dead to find your great-great-grandfather, a legendary singer.",good (almost perfect),2022-08-18 22:59:32,Coco
7,tt10627776,"When you, Agnes and Edith return from Badger Scout camp, three of the Minions will be entranced by the girls' merit badges. Your own attempt at scout camp will result in attracting a bear, eating poison berries and eventually blowing you...",okay (understandable),2022-08-18 22:59:54,Minion Scouts
8,tt3469046,"You will meet your long-lost, charming, cheerful, and more successful twin brother Dru, who will want to team up with you for one last criminal heist.",good (almost perfect),2022-08-18 23:00:01,Despicable Me 3
9,tt0298148,"Shrek and Fiona will travel to the youdom of Far Far Away, where Fiona's parents will be you and Queen, to celebrate your marriage. When you arrive, you will find you will be not as welcome as you thought you would be.",okay (understandable),2022-08-18 23:00:10,Shrek 2
10,tt4633694,"You will become the Spider-Man of your universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",good (almost perfect),2022-08-18 23:00:15,Spider-Man: Into the Spider-Verse
11,tt0114148,An English soldier and the daughter of an Algonquin chief will share a romance when you invade seventeenth century Virginia.,good (almost perfect),2022-08-18 23:00:20,Pocahontas
12,tt1667889,"You, Diego, and Sid will embark upon another adventure after your continent will be set adrift. Using an iceberg as a ship, you will encounter sea creatures and battle pirates as you explore a new world.",good (almost perfect),2022-08-18 23:00:30,Ice Age: Continental Drift
13,tt1830748,You will go through the wacky orientation process at the evil laboratories of Gru.,good (almost perfect),2022-08-18 23:00:40,Orientation Day
15,tt0298148,"You and Fiona will travel to the Kingdom of Far Far Away, where Fiona's parents will be King and Queen, to celebrate your marriage. When you arrive, you will find you will be not as welcome as you thought you would be.",good (almost perfect),2022-08-18 23:01:05,Shrek 2
17,tt0448694,"You, your childhood egg-friend and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear your name, restore your lost honor and regain the trust of your mother and town.",good (almost perfect),2022-08-18 23:01:46,Puss in Boots
22,tt1217209,"Determined to make your own path in life, you will defy a custom that will bring chaos to your kingdom. Granted one wish, Merida must rely on your bravery and your archery skills to undo a beastly curse.",okay (understandable),2022-08-18 23:02:35,Brave
24,tt2510894,"You and your friends will try to bring out the monster in your half human, half vampire grandson in order to keep Mavis from leaving the hotel.",good (almost perfect),2022-08-18 23:02:52,Hotel Transylvania 2
25,tt1001526,"You finally will defeat your do-gooder nemesis, Metro Man, but will be left without a purpose in a superhero-free world.",good (almost perfect),2022-08-18 23:03:00,Megamind
27,tt1877889,"You, mutated by a mysterious alien substance, must rise up out of the sewers and defend your city against evil forces from both the past and present.",good (almost perfect),2022-08-18 23:03:14,Teenage Mutant Ninja Turtles
28,tt2948372,"After landing the gig of a lifetime, you suddenly will find you trap in a strange land between Earth and the afterlife.",okay (understandable),2022-08-18 23:03:25,Soul
29,tt1865718,"You will spend the summer at your great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.",good (almost perfect),2022-08-18 23:03:29,Gravity Falls
30,tt2065968,"As you of Berk prepare for your winter holiday, the resident dragons all inexplicably will fly away.",okay (understandable),2022-08-18 23:03:34,Dragons: Gift of the Night Fury
32,tt1646971,"When you and Toothless discover an ice cave that will be home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends will find you at the center of a battle to protect the peace.",okay (understandable),2022-08-18 23:04:05,How to Train Your Dragon 2
34,tt11112140,You and Toothless will reunite to remind both your kinds of the inseparable bond between vikings and dragons.,good (almost perfect),2022-08-18 23:04:19,How to Train Your Dragon: Homecoming
35,tt14845172,"Laundry day will go cosplay when you get a seat at the table of some pro-role-playing gamers. Starting as a punching bag for monsters and punchline for peers, your perseverance will unlock bardacious skills just in time to save...",okay (understandable),2022-08-18 23:04:32,Minions & Monsters
38,tt2948356,"In a city of anthropomorphic animals, you and a cynical con artist fox must work together to uncover a conspiracy.",good (almost perfect),2022-08-18 23:05:05,Zootopia
39,tt3521164,"In Ancient Polynesia, when you incurred by the Demigod Maui reach Moana's island, you will answer the Ocean's call to seek out the Demigod to set things right.",okay (understandable),2022-08-18 23:05:30,Moana
40,tt0345950,You will take leave from the town of Bikini Bottom in order to track down King Neptune's stolen crown.,good (almost perfect),2022-08-18 23:05:34,The SpongeBob SquarePants Movie
41,tt3405276,"You will find a little lost alien, and you will care for it.",good (almost perfect),2022-08-18 23:05:38,Puppy!
42,tt0358082,"In a robot world, you will travel to the big city to join your inspiration's company, only to find you oppose its sinister new management.",good (almost perfect),2022-08-18 23:05:44,Robots
43,tt12801262,"On the Italian Riviera, you will grow between a human being and a sea monster disguised as a human.",okay (understandable),2022-08-18 23:05:50,Luca
44,tt4816058,"Unlock the secrets of the Dragon Eye and come face to face with more dragons than anyone will have ever imagined as you, Toothless and the Dragon Riders soar to the edge of adventure.",good (almost perfect),2022-08-18 23:06:02,Dragons: Race to the Edge
45,tt2112281,"You and Flynn Rider will have your wedding, but Pascal and Maximus must recover the rings you will lose in mid-ceremony.",good (almost perfect),2022-08-18 23:06:14,Tangled Ever After
48,tt2293640,"You, Kevin, and Bob will be recruited by Scarlet Overkill, a supervillain who, alongside your inventor husband Herb, will hatch a plot to take over the world.",good (almost perfect),2022-08-18 23:06:52,Minions
51,tt1734135,"You will find a magic amulet that will choose you to be a Trollhunter, a guardian that will defend the world of humans and the secret world of trolls.",good (almost perfect),2022-08-18 23:07:39,Trollhunters: Tales of Arcadia
54,tt8097030,You named Meilin will turn into a giant red panda whenever you get too excited.,okay (understandable),2022-08-18 23:08:01,Turning Red
57,tt3513500,"Thirty years after your popular television show ended, you and Dale will live very different lives. When a cast member from the original series mysteriously disappears, the pair must reunite to save your friend.",okay (understandable),2022-08-18 23:08:36,Chip 'n Dale: Rescue Rangers
63,tt5220122,"Count Dracula and company will participate in a cruise for sea-loving monsters, unaware that you will be being commandeer by the monster-hating Van Helsing family.",okay (understandable),2022-08-18 23:09:49,Hotel Transylvania 3: Summer Vacation
64,tt0114148,You and the daughter of an Algonquin chief will share a romance when English colonists invade seventeenth century Virginia.,good (almost perfect),2022-08-18 23:09:53,Pocahontas
65,tt1217209,"Determined to make your own path in life, Princess you will defy a custom that will bring chaos to your kingdom. Granted one wish, you must rely on your bravery and your archery skills to undo a beastly curse.",good (almost perfect),2022-08-18 23:10:06,Brave
66,tt2065968,"As the village of Berk prepares for your winter holiday, you all inexplicably will fly away.",okay (understandable),2022-08-18 23:10:13,Dragons: Gift of the Night Fury
69,tt0435761,"You will be mistakenly delivered to a day-care center instead of the attic right before Andy leaves for college, and youwill be up to Woody to convince the other toys that they weren't abandoned and to return home.",okay (understandable),2022-08-18 23:10:54,Toy Story 3
72,tt0120587,You will try to break from your totalitarian society while trying to win the affection of the princess you will love.,good (almost perfect),2022-08-18 23:11:09,Antz
73,tt3010520,You and your friends will race other species and battle enemies in the snail populated world of Starlight City.,good (almost perfect),2022-08-18 23:11:18,Turbo FAST
75,tt0892791,You will trick a mid-life crisis burdened Shrek into allowing you to be erase from existence and cast in a dark alternate timeline where you will rule supreme.,okay (understandable),2022-08-18 23:11:45,Shrek Forever After
76,tt0910970,"In the distant future, you inadvertently will embark on a space journey that will ultimately decide the fate of mankind.",good (almost perfect),2022-08-18 23:11:50,WALL·E
78,tt0892791,You will trick a mid-life crisis burdened Shrek into allowing you to be erase from existence and cast in a dark alternate timeline where you will rule supreme.,okay (understandable),2022-08-18 23:12:12,Shrek Forever After
79,tt2245084,"You will develop between plus-sized inflatable robot Baymax and prodigy Hiro Hamada, who together will team up with a group of friends to form a band of high-tech heroes.",okay (understandable),2022-08-18 23:12:24,Big Hero 6
84,tt0852863,"You and Ferb will invent, scheme, and stay one step ahead of your bratty sister. Meanwhile, your pet platypus will plot against evil Dr. Doofenshmirtz.",good (almost perfect),2022-08-18 23:13:43,Phineas and Ferb
85,tt0266543,"After your son will be captured in the Great Barrier Reef and taken to Sydney, you will set out on a journey to bring you home.",okay (understandable),2022-08-18 23:13:48,Finding Nemo
86,tt0438097,"You, Sid, and Diego will discover that the ice age will be coming to an end, and join everybody for a journey to higher ground. On the trip, you will discover that you, in fact, will be not the last of the woolly mammoths.",okay (understandable),2022-08-18 23:13:57,Ice Age 2: The Meltdown
88,tt9848626,"After one experiment, you will turn into a monster and everyone else will become human. Now you will have to be seen whether they will be able to reverse this experiment.",okay (understandable),2022-08-18 23:14:19,Hotel Transylvania 4: Transformania
89,tt0097757,You will make a Faustian bargain in an attempt to become human and win a prince's love.,good (almost perfect),2022-08-18 23:14:24,The Little Mermaid
93,tt0837562,"Dracula, who will operate a high-end resort away from the human world, will go into overprotective mode when you discover the resort and will fall for the count's teenaged daughter.",good (almost perfect),2022-08-18 23:14:59,Hotel Transylvania
