,movie_id,plot,label,annotated_at,movie_title
1,tt2709768,"The quiet life of a terrier named Max will be upended when you take in Duke, a stray whom Max instantly will dislike.",good (almost perfect),2022-08-18 22:59:02,The Secret Life of Pets
4,tt6095472,You and scheming green pigs will take your feud to the next level.,good (almost perfect),2022-08-18 22:59:27,The Angry Birds Movie 2
5,tt2380307,"You, confronted with your family's ancestral ban on music, will enter the Land of the Dead to find your great-great-grandfather, a legendary singer.",good (almost perfect),2022-08-18 22:59:32,Coco
8,tt3469046,"You will meet your long-lost, charming, cheerful, and more successful twin brother Dru, who will want to team up with you for one last criminal heist.",good (almost perfect),2022-08-18 23:00:01,Despicable Me 3
10,tt4633694,"You will become the Spider-Man of your universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",good (almost perfect),2022-08-18 23:00:15,Spider-Man: Into the Spider-Verse
11,tt0114148,An English soldier and the daughter of an Algonquin chief will share a romance when you invade seventeenth century Virginia.,good (almost perfect),2022-08-18 23:00:20,Pocahontas
12,tt1667889,"You, Diego, and Sid will embark upon another adventure after your continent will be set adrift. Using an iceberg as a ship, you will encounter sea creatures and battle pirates as you explore a new world.",good (almost perfect),2022-08-18 23:00:30,Ice Age: Continental Drift
13,tt1830748,You will go through the wacky orientation process at the evil laboratories of Gru.,good (almost perfect),2022-08-18 23:00:40,Orientation Day
15,tt0298148,"You and Fiona will travel to the Kingdom of Far Far Away, where Fiona's parents will be King and Queen, to celebrate your marriage. When you arrive, you will find you will be not as welcome as you thought you would be.",good (almost perfect),2022-08-18 23:01:05,Shrek 2
17,tt0448694,"You, your childhood egg-friend and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear your name, restore your lost honor and regain the trust of your mother and town.",good (almost perfect),2022-08-18 23:01:46,Puss in Boots
24,tt2510894,"You and your friends will try to bring out the monster in your half human, half vampire grandson in order to keep Mavis from leaving the hotel.",good (almost perfect),2022-08-18 23:02:52,Hotel Transylvania 2
25,tt1001526,"You finally will defeat your do-gooder nemesis, Metro Man, but will be left without a purpose in a superhero-free world.",good (almost perfect),2022-08-18 23:03:00,Megamind
27,tt1877889,"You, mutated by a mysterious alien substance, must rise up out of the sewers and defend your city against evil forces from both the past and present.",good (almost perfect),2022-08-18 23:03:14,Teenage Mutant Ninja Turtles
29,tt1865718,"You will spend the summer at your great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.",good (almost perfect),2022-08-18 23:03:29,Gravity Falls
34,tt11112140,You and Toothless will reunite to remind both your kinds of the inseparable bond between vikings and dragons.,good (almost perfect),2022-08-18 23:04:19,How to Train Your Dragon: Homecoming
38,tt2948356,"In a city of anthropomorphic animals, you and a cynical con artist fox must work together to uncover a conspiracy.",good (almost perfect),2022-08-18 23:05:05,Zootopia
40,tt0345950,You will take leave from the town of Bikini Bottom in order to track down King Neptune's stolen crown.,good (almost perfect),2022-08-18 23:05:34,The SpongeBob SquarePants Movie
41,tt3405276,"You will find a little lost alien, and you will care for it.",good (almost perfect),2022-08-18 23:05:38,Puppy!
42,tt0358082,"In a robot world, you will travel to the big city to join your inspiration's company, only to find you oppose its sinister new management.",good (almost perfect),2022-08-18 23:05:44,Robots
44,tt4816058,"Unlock the secrets of the Dragon Eye and come face to face with more dragons than anyone will have ever imagined as you, Toothless and the Dragon Riders soar to the edge of adventure.",good (almost perfect),2022-08-18 23:06:02,Dragons: Race to the Edge
45,tt2112281,"You and Flynn Rider will have your wedding, but Pascal and Maximus must recover the rings you will lose in mid-ceremony.",good (almost perfect),2022-08-18 23:06:14,Tangled Ever After
48,tt2293640,"You, Kevin, and Bob will be recruited by Scarlet Overkill, a supervillain who, alongside your inventor husband Herb, will hatch a plot to take over the world.",good (almost perfect),2022-08-18 23:06:52,Minions
51,tt1734135,"You will find a magic amulet that will choose you to be a Trollhunter, a guardian that will defend the world of humans and the secret world of trolls.",good (almost perfect),2022-08-18 23:07:39,Trollhunters: Tales of Arcadia
64,tt0114148,You and the daughter of an Algonquin chief will share a romance when English colonists invade seventeenth century Virginia.,good (almost perfect),2022-08-18 23:09:53,Pocahontas
65,tt1217209,"Determined to make your own path in life, Princess you will defy a custom that will bring chaos to your kingdom. Granted one wish, you must rely on your bravery and your archery skills to undo a beastly curse.",good (almost perfect),2022-08-18 23:10:06,Brave
72,tt0120587,You will try to break from your totalitarian society while trying to win the affection of the princess you will love.,good (almost perfect),2022-08-18 23:11:09,Antz
73,tt3010520,You and your friends will race other species and battle enemies in the snail populated world of Starlight City.,good (almost perfect),2022-08-18 23:11:18,Turbo FAST
76,tt0910970,"In the distant future, you inadvertently will embark on a space journey that will ultimately decide the fate of mankind.",good (almost perfect),2022-08-18 23:11:50,WALL·E
84,tt0852863,"You and Ferb will invent, scheme, and stay one step ahead of your bratty sister. Meanwhile, your pet platypus will plot against evil Dr. Doofenshmirtz.",good (almost perfect),2022-08-18 23:13:43,Phineas and Ferb
89,tt0097757,You will make a Faustian bargain in an attempt to become human and win a prince's love.,good (almost perfect),2022-08-18 23:14:24,The Little Mermaid
93,tt0837562,"Dracula, who will operate a high-end resort away from the human world, will go into overprotective mode when you discover the resort and will fall for the count's teenaged daughter.",good (almost perfect),2022-08-18 23:14:59,Hotel Transylvania
96,tt5515212,"You, Baymax the robot, and your friends will defend the city of San Fransokyo as superheroes.",good (almost perfect),2022-08-18 23:15:24,Big Hero 6: The Series
97,tt0120623,"You, looking for ""warriors"" to save your colony from greedy grasshoppers, will recruit a group of bugs that will turn out to be an inept circus troupe.",good (almost perfect),2022-08-18 23:15:31,A Bug's Life
100,tt0120917,"You will be turned into a llama by your ex-administrator Yzma, and must now regain your throne with the help of Pacha, the gentle llama herder.",good (almost perfect),2022-08-18 23:15:51,The Emperor's New Groove
102,tt6105098,"After the murder of your father, you will flee your kingdom only to learn the true meaning of responsibility and bravery.",good (almost perfect),2022-08-18 23:16:02,The Lion King
105,tt1860353,You might just help an everyday garden snail achieve your biggest dream: winning the Indy 500.,good (almost perfect),2022-08-18 23:16:32,Turbo
108,tt0413267,"Reluctantly designated as the heir to the land of Far, Far Away, you will hatch a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming.",good (almost perfect),2022-08-18 23:16:55,Shrek the Third
109,tt3416828,"When Scrat's acorn sends an asteroid to Earth, you must find a way to stop the asteroid from hitting Earth with the help of a returning friend.",good (almost perfect),2022-08-18 23:16:59,Ice Age: Collision Course
110,tt0396555,"You will be a brilliant inventor who will meet mysterious stranger named Wilbur Robinson, whisking you away in a time machine and together you will team up to track down Bowler Hat Guy in a showdown that will end with an unexpected twist of fate.",good (almost perfect),2022-08-18 23:17:13,Meet the Robinsons
119,tt2953050,You will have to face the frustration of being the only member of your family without magical powers.,good (almost perfect),2022-08-18 23:18:29,Encanto
123,tt9288046,"When you stow away on the ship of a legendary sea monster hunter, you will launch an epic journey into uncharted waters - and make history to boot.",good (almost perfect),2022-08-18 23:18:59,The Sea Beast
124,tt2051999,"You will be bored on Halloween, and will want to have something scary. The power of Thriller will give you more than he bargained for.",good (almost perfect),2022-08-18 23:19:04,Shrek: Thriller Night
127,tt0235918,"After being tortured and humiliated by your babysitter, you will be put under the care of two fairy godparents, who can grant you almost any wish, which leads to dire consequences.",good (almost perfect),2022-08-18 23:19:31,Fairly OddParents
136,tt0114709,You will be profoundly threatened and jealous when a new spaceman figure supplants you as top toy in a boy's room.,good (almost perfect),2022-08-18 23:20:30,Toy Story
137,tt2386490,"When you discover Toothless isn't the only Night Fury, you must seek ""The Hidden World"", a secret Dragon Utopia before a hired tyrant named Grimmel finds it first.",good (almost perfect),2022-08-18 23:20:36,How to Train Your Dragon: The Hidden World
141,tt1049413,"You will travel to Paradise Falls in your house equipped with balloons, inadvertently taking a young stowaway.",good (almost perfect),2022-08-18 23:21:29,Up
143,tt0103639,You and a power-hungry Grand Vizier will vie for a magic lamp that will have the power to make your deepest wishes come true.,good (almost perfect),2022-08-18 23:21:36,Aladdin
149,tt10298810,"While spending years attempting to return home, you will encounter an army of ruthless robots commanded by Zurg who will be attempting to steal your fuel source.",good (almost perfect),2022-08-18 23:22:31,Lightyear
154,tt1860353,A freak accident might just help you achieve your biggest dream: winning the Indy 500.,good (almost perfect),2022-08-18 23:23:09,Turbo
157,tt0413267,"Reluctantly designated as the heir to the land of Far, Far Away, Shrek will hatch a plan to install the rebellious Artie as the new king while you try to fend off a coup d'état by the jilted Prince Charming.",good (almost perfect),2022-08-18 23:23:32,Shrek the Third
159,tt2277860,"You will begin a search for your long-lost parents, and everyone will learn a few things about the real meaning of family along the way.",good (almost perfect),2022-08-18 23:23:50,Finding Dory
164,tt0116583,"You must assert your independence from a vicious government minister in order to help your friend, a gypsy dancer.",good (almost perfect),2022-08-18 23:24:36,The Hunchback of Notre Dame
165,tt7146812,You will embark on a quest to bring your father back for one day.,good (almost perfect),2022-08-18 23:24:41,Onward
166,tt1446192,"When the evil spirit Pitch launches an assault on Earth, you will team up to protect the innocence of children all around the world.",good (almost perfect),2022-08-18 23:24:47,Rise of the Guardians
171,tt1744776,You and the gang will join Gobber on a quest to find a legendary boneclad Dragon.,good (almost perfect),2022-08-18 23:25:34,Legend of the Boneknapper Dragon
177,tt4520988,"You, Elsa, Kristoff, Olaf and Sven will leave Arendelle to travel to an ancient, autumn-bound forest of an enchanted land. You set out to find the origin of Elsa's powers in order to save their kingdom.",good (almost perfect),2022-08-18 23:26:24,Frozen II
178,tt1814643,You will chase a banana and apple around the lab.,good (almost perfect),2022-08-18 23:26:37,Banana
184,tt1490017,"You, thought to be the prophesied as ""special"", will be recruited to join a quest to stop an evil tyrant from gluing the LEGO universe into eternal stasis.",good (almost perfect),2022-08-18 23:27:11,The Lego Movie
186,tt3874544,You will pair up with your 7-year old brother to stop the dastardly plot of the CEO of Puppy Co.,good (almost perfect),2022-08-18 23:27:24,The Boss Baby
