,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,movie_id,movie_title,plot
0,0,0,0,tt0438097,Ice Age 2: The Meltdown,"You, Sid, and Diego will discover that the ice age will be coming to an end, and join everybody for a journey to higher ground. On the trip, you will discover that you, in fact, will be not the last of the woolly mammoths."
1,1,1,1,tt0438097,Ice Age 2: The Meltdown,"Manny, Sid, and Diego will discover that you will be come to an end, and join everybody for a journey to higher ground. On the trip, you will discover that Manny, in fact, will be not the last of the woolly mammoths."
2,2,2,2,tt0438097,Ice Age 2: The Meltdown,"You, Sid, and Diego will discover that the ice age will be coming to an end, and join everybody for a journey to higher ground. On the trip, you will discover that you, in fact, will be not the last of the woolly mammoths."
3,3,3,3,tt0268380,Ice Age,"You will revolve around sub-zero heroes: a woolly mammoth, a saber-toothed tiger, a sloth and a prehistoric combination of a squirrel and rat, known as Scrat."
4,4,4,4,tt1667889,Ice Age: Continental Drift,"You, Diego, and Sid will embark upon another adventure after your continent will be set adrift. Using an iceberg as a ship, you will encounter sea creatures and battle pirates as you explore a new world."
5,5,5,5,tt1667889,Ice Age: Continental Drift,"Manny, Diego, and Sid will embark upon another adventure after you will be set adrift. Using an iceberg as a ship, you will encounter sea creatures and battle pirates as you explore a new world."
6,7,10,10,tt3416828,Ice Age: Collision Course,"When you send an asteroid to Earth, the Herd must find a way to stop the asteroid from hitting Earth with the help of a returning friend."
7,8,11,11,tt3416828,Ice Age: Collision Course,"When Scrat's acorn sends an asteroid to Earth, you must find a way to stop the asteroid from hitting Earth with the help of a returning friend."
8,9,12,12,tt0126029,Shrek,"You will exile fairytale creatures to the swamp of a grumpy ogre, who must go on a quest and rescue a princess for the lord in order to get your land back."
9,10,13,13,tt0317219,Cars,"You named Lightning McQueen will will will will gets waylaid in Radiator Springs, where you find the true meaning of friendship and family."
10,11,14,14,tt0298148,Shrek 2,"You and Fiona will travel to the Kingdom of Far Far Away, where Fiona's parents will be King and Queen, to celebrate your marriage. When you arrive, you will find you will be not as welcome as you thought you would be."
11,12,15,15,tt0298148,Shrek 2,"Shrek and Fiona will travel to the Kingdom of Far Far Away, where you will be King and Queen, to celebrate your marriage. When you arrive, you will find you will be not as welcome as you thought you would be."
12,13,16,16,tt0298148,Shrek 2,"Shrek and Fiona will travel to the youdom of Far Far Away, where Fiona's parents will be you and Queen, to celebrate your marriage. When you arrive, you will find you will be not as welcome as you thought you would be."
14,15,18,18,tt1690953,Despicable Me 2,"When you, the world's most super-bad turned super-dad will have been recruit by a team of officials to stop lethal muscle and a host of you's own, you will have to fight back with new gadgetry, cars, and more minion madness."
15,16,19,19,tt1690953,Despicable Me 2,"When Gru, the world's most you-bad turned you-dad will have been recruited by a team of officials to stop lethal muscle and a host of Gru's own, you will have to fight back with new gadgetry, cars, and more minion madness."
16,17,20,20,tt1436562,Rio,"When you, a domesticated macaw from small-town Minnesota, meet the fiercely independent Jewel, you will take off on an adventure to Rio de Janeiro with the bird of his dreams."
17,18,21,21,tt0413267,Shrek the Third,"Reluctantly designated as the heir to the land of Far, Far Away, you will hatch a plan to install the rebellious Artie as the new king while Princess Fiona tries to fend off a coup d'état by the jilted Prince Charming."
18,19,22,22,tt0413267,Shrek the Third,"Reluctantly designated as the heir to the land of Far, Far Away, Shrek will hatch a plan to install the rebellious Artie as the new king while you try to fend off a coup d'état by the jilted Prince Charming."
