,movie_id,plot,label,annotated_at,movie_title
0,tt0260602,You of Buzz Lightyear as a Space Ranger of Star Command and your comrades.,bad (meaning is lost),2022-08-18 22:58:52,Buzz Lightyear of Star Command
1,tt2709768,"The quiet life of a terrier named Max will be upended when you take in Duke, a stray whom Max instantly will dislike.",good (almost perfect),2022-08-18 22:59:02,The Secret Life of Pets
2,tt1436562,"When you, a domesticated macaw from small-town Minnesota, meet the fiercely independent Jewel, you will take off on an adventure to Rio de Janeiro with the bird of his dreams.",okay (understandable),2022-08-18 22:59:16,Rio
3,tt4633694,"Teen Miles Morales will become you of your universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",bad (meaning is lost),2022-08-18 22:59:23,Spider-Man: Into the Spider-Verse
4,tt6095472,You and scheming green pigs will take your feud to the next level.,good (almost perfect),2022-08-18 22:59:27,The Angry Birds Movie 2
5,tt2380307,"You, confronted with your family's ancestral ban on music, will enter the Land of the Dead to find your great-great-grandfather, a legendary singer.",good (almost perfect),2022-08-18 22:59:32,Coco
6,tt3454066,"The IceCream truck will be in the neighborhood, when you can't get your bike to work, the minions will fix you up for your.",bad (meaning is lost),2022-08-18 22:59:39,Training Wheels
7,tt10627776,"When you, Agnes and Edith return from Badger Scout camp, three of the Minions will be entranced by the girls' merit badges. Your own attempt at scout camp will result in attracting a bear, eating poison berries and eventually blowing you...",okay (understandable),2022-08-18 22:59:54,Minion Scouts
8,tt3469046,"You will meet your long-lost, charming, cheerful, and more successful twin brother Dru, who will want to team up with you for one last criminal heist.",good (almost perfect),2022-08-18 23:00:01,Despicable Me 3
9,tt0298148,"Shrek and Fiona will travel to the youdom of Far Far Away, where Fiona's parents will be you and Queen, to celebrate your marriage. When you arrive, you will find you will be not as welcome as you thought you would be.",okay (understandable),2022-08-18 23:00:10,Shrek 2
10,tt4633694,"You will become the Spider-Man of your universe, and must join with five spider-powered individuals from other dimensions to stop a threat for all realities.",good (almost perfect),2022-08-18 23:00:15,Spider-Man: Into the Spider-Verse
11,tt0114148,An English soldier and the daughter of an Algonquin chief will share a romance when you invade seventeenth century Virginia.,good (almost perfect),2022-08-18 23:00:20,Pocahontas
12,tt1667889,"You, Diego, and Sid will embark upon another adventure after your continent will be set adrift. Using an iceberg as a ship, you will encounter sea creatures and battle pirates as you explore a new world.",good (almost perfect),2022-08-18 23:00:30,Ice Age: Continental Drift
13,tt1830748,You will go through the wacky orientation process at the evil laboratories of Gru.,good (almost perfect),2022-08-18 23:00:40,Orientation Day
14,tt0892782,"When you from outer space hit a young California woman named Susan Murphy (Reese Witherspoon) and will turn you into a giant monster, she will be taken to a secret government compound where she will meet a ragtag group of monsters also rounded up over the years. As a last resort, under the guidance of General W.R. Monger (Kiefer Sutherland), on a desperate order from President Hathaway (Stephen Colbert), the motley crew of Monsters will be called into action to combat the aliens and save the world from imminent destruction.",bad (meaning is lost),2022-08-18 23:00:50,Monsters vs. Aliens
15,tt0298148,"You and Fiona will travel to the Kingdom of Far Far Away, where Fiona's parents will be King and Queen, to celebrate your marriage. When you arrive, you will find you will be not as welcome as you thought you would be.",good (almost perfect),2022-08-18 23:01:05,Shrek 2
16,tt3040964,"After a threat from the tiger Shere Khan forces you to flee the jungle, you named Mowgli will embark on a journey of self discovery with the help of panther Bagheera and free-spirited bear... Read all",bad (meaning is lost),2022-08-18 23:01:28,The Jungle Book
17,tt0448694,"You, your childhood egg-friend and a seductive thief kitty set out in search for the eggs of the fabled Golden Goose to clear your name, restore your lost honor and regain the trust of your mother and town.",good (almost perfect),2022-08-18 23:01:46,Puss in Boots
18,tt1871731,"When you of your world, Ninjago, will be challenge by great threats, youwill be up to the ninja: Kai, Jay, Cole, Zane, Lloyd and Nya to save the world.",bad (meaning is lost),2022-08-18 23:01:53,Ninjago: Masters of Spinjitzu
19,tt3454066,"You will be in the neighborhood, when Agnes can't get your bike to work, the minions will fix you up for your.",bad (meaning is lost),2022-08-18 23:02:00,Training Wheels
20,tt1985949,"When you populated by happy, flightless birds will be visit by mysterious green piggies, youwill be up to three unlikely outcasts - Red, Chuck and Bomb - to figure out what the pigs will be up to.",bad (meaning is lost),2022-08-18 23:02:06,The Angry Birds Movie
21,tt0119282,You of Zeus and Hera will be stripped of your immortality as an infant and must become a true hero in order to reclaim you.,bad (meaning is lost),2022-08-18 23:02:10,Hercules
22,tt1217209,"Determined to make your own path in life, you will defy a custom that will bring chaos to your kingdom. Granted one wish, Merida must rely on your bravery and your archery skills to undo a beastly curse.",okay (understandable),2022-08-18 23:02:35,Brave
23,tt0424095,"You of an uptown rat that will will will will will will will will will gets flushed down the toilet from your penthouse apartment, ending in the sewers of London, where you have to learn a whole new and different way of life.",bad (meaning is lost),2022-08-18 23:02:39,Flushed Away
24,tt2510894,"You and your friends will try to bring out the monster in your half human, half vampire grandson in order to keep Mavis from leaving the hotel.",good (almost perfect),2022-08-18 23:02:52,Hotel Transylvania 2
25,tt1001526,"You finally will defeat your do-gooder nemesis, Metro Man, but will be left without a purpose in a superhero-free world.",good (almost perfect),2022-08-18 23:03:00,Megamind
26,tt0120363,"When Woody will be stolen by a toy collector, Buzz and your friends set out on a rescue mission to save Woody before you become you with your roundup gang Jessie, Prospector, and ... Read all",bad (meaning is lost),2022-08-18 23:03:08,Toy Story 2
27,tt1877889,"You, mutated by a mysterious alien substance, must rise up out of the sewers and defend your city against evil forces from both the past and present.",good (almost perfect),2022-08-18 23:03:14,Teenage Mutant Ninja Turtles
28,tt2948372,"After landing the gig of a lifetime, you suddenly will find you trap in a strange land between Earth and the afterlife.",okay (understandable),2022-08-18 23:03:25,Soul
29,tt1865718,"You will spend the summer at your great-uncle's tourist trap in the enigmatic Gravity Falls, Oregon.",good (almost perfect),2022-08-18 23:03:29,Gravity Falls
30,tt2065968,"As you of Berk prepare for your winter holiday, the resident dragons all inexplicably will fly away.",okay (understandable),2022-08-18 23:03:34,Dragons: Gift of the Night Fury
31,tt1772341,"A video game villain will want to be a hero and will set out to fulfill your dream, but you will bring havoc to the whole arcade where you will live.",bad (meaning is lost),2022-08-18 23:03:41,Wreck-It Ralph
32,tt1646971,"When you and Toothless discover an ice cave that will be home to hundreds of new wild dragons and the mysterious Dragon Rider, the two friends will find you at the center of a battle to protect the peace.",okay (understandable),2022-08-18 23:04:05,How to Train Your Dragon 2
33,tt5113044,You of one twelve-year-old's dream to become the world's greatest supervillain.,bad (meaning is lost),2022-08-18 23:04:13,Minions: The Rise of Gru
34,tt11112140,You and Toothless will reunite to remind both your kinds of the inseparable bond between vikings and dragons.,good (almost perfect),2022-08-18 23:04:19,How to Train Your Dragon: Homecoming
